Intent,User_Input,Response,Entity,Category
Drug_Dosage,Recommended dose of Lithium?,Typical dose for Lithium depends on individual condition. Consult doctor.,Lithium,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Interaction_Check,Can I take Prednisone and Digoxin together?,Prednisone and Digoxin may have Minor interaction.,Prednisone/Digoxin,Drug
Interaction_Check,Can I take Lisinopril and Warfarin together?,Lisinopril and Warfarin may have Major interaction.,Lisinopril/Warfarin,Drug
Interaction_Check,Can I take Omeprazole and Aspirin together?,Omeprazole and Aspirin do not have significant interactions.,Omeprazole/Aspirin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Interaction_Check,Can I take Prednisone and Clopidogrel together?,Prednisone and Clopidogrel may have Minor interaction.,Prednisone/Clopidogrel,Drug
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Prednisone?,Typical dose for Prednisone depends on individual condition. Consult doctor.,Prednisone,Drug
Side_Effect,What are side effects of Clopidogrel?,Common side effects of Clopidogrel include mild to moderate reactions.,Clopidogrel,Drug
Interaction_Check,Can I take Digoxin and Omeprazole together?,Digoxin and Omeprazole may have Major interaction.,Digoxin/Omeprazole,Drug
Drug_Info,What is Sildenafil used for?,Sildenafil is used for treatment of its respective condition.,Sildenafil,Drug
Drug_Info,What is Prednisone used for?,Prednisone is used for treatment of its respective condition.,Prednisone,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Interaction_Check,Can I take Digoxin and Simvastatin together?,Digoxin and Simvastatin do not have significant interactions.,Digoxin/Simvastatin,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Side_Effect,What are side effects of Metformin?,Common side effects of Metformin include mild to moderate reactions.,Metformin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Interaction_Check,Can I take Digoxin and Warfarin together?,Digoxin and Warfarin may have Major interaction.,Digoxin/Warfarin,Drug
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Interaction_Check,Can I take Omeprazole and Lithium together?,Omeprazole and Lithium do not have significant interactions.,Omeprazole/Lithium,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Interaction_Check,Can I take Digoxin and Prednisone together?,Digoxin and Prednisone may have Major interaction.,Digoxin/Prednisone,Drug
Interaction_Check,Can I take Aspirin and Warfarin together?,Aspirin and Warfarin may have Major interaction.,Aspirin/Warfarin,Drug
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Interaction_Check,Can I take Omeprazole and Amiodarone together?,Omeprazole and Amiodarone may have Major interaction.,Omeprazole/Amiodarone,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Interaction_Check,Can I take Lithium and Sildenafil together?,Lithium and Sildenafil may have Moderate interaction.,Lithium/Sildenafil,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Drug_Dosage,Recommended dose of Lisinopril?,Typical dose for Lisinopril depends on individual condition. Consult doctor.,Lisinopril,Drug
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Interaction_Check,Can I take Digoxin and Clopidogrel together?,Digoxin and Clopidogrel do not have significant interactions.,Digoxin/Clopidogrel,Drug
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Drug_Dosage,Recommended dose of Aspirin?,Typical dose for Aspirin depends on individual condition. Consult doctor.,Aspirin,Drug
Interaction_Check,Can I take Prednisone and Omeprazole together?,Prednisone and Omeprazole may have Moderate interaction.,Prednisone/Omeprazole,Drug
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Drug_Info,What is Prednisone used for?,Prednisone is used for treatment of its respective condition.,Prednisone,Drug
Interaction_Check,Can I take Ibuprofen and Sildenafil together?,Ibuprofen and Sildenafil do not have significant interactions.,Ibuprofen/Sildenafil,Drug
Interaction_Check,Can I take Simvastatin and Amiodarone together?,Simvastatin and Amiodarone may have Major interaction.,Simvastatin/Amiodarone,Drug
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Interaction_Check,Can I take Amiodarone and Warfarin together?,Amiodarone and Warfarin may have Major interaction.,Amiodarone/Warfarin,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Interaction_Check,Can I take Aspirin and Metformin together?,Aspirin and Metformin may have Moderate interaction.,Aspirin/Metformin,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Interaction_Check,Can I take Simvastatin and Aspirin together?,Simvastatin and Aspirin may have Minor interaction.,Simvastatin/Aspirin,Drug
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Side_Effect,What are side effects of Metformin?,Common side effects of Metformin include mild to moderate reactions.,Metformin,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Info,What is Omeprazole used for?,Omeprazole is used for treatment of its respective condition.,Omeprazole,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Interaction_Check,Can I take Clopidogrel and Simvastatin together?,Clopidogrel and Simvastatin may have Moderate interaction.,Clopidogrel/Simvastatin,Drug
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Side_Effect,What are side effects of Lithium?,Common side effects of Lithium include mild to moderate reactions.,Lithium,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Interaction_Check,Can I take Warfarin and Lithium together?,Warfarin and Lithium do not have significant interactions.,Warfarin/Lithium,Drug
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Info,What is Prednisone used for?,Prednisone is used for treatment of its respective condition.,Prednisone,Drug
Interaction_Check,Can I take Metformin and Digoxin together?,Metformin and Digoxin do not have significant interactions.,Metformin/Digoxin,Drug
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Drug_Info,What is Simvastatin used for?,Simvastatin is used for treatment of its respective condition.,Simvastatin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Dosage,Recommended dose of Lithium?,Typical dose for Lithium depends on individual condition. Consult doctor.,Lithium,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Dosage,Recommended dose of Lithium?,Typical dose for Lithium depends on individual condition. Consult doctor.,Lithium,Drug
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Interaction_Check,Can I take Levothyroxine and Ibuprofen together?,Levothyroxine and Ibuprofen may have Major interaction.,Levothyroxine/Ibuprofen,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Interaction_Check,Can I take Lithium and Sildenafil together?,Lithium and Sildenafil may have Major interaction.,Lithium/Sildenafil,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Side_Effect,What are side effects of Clopidogrel?,Common side effects of Clopidogrel include mild to moderate reactions.,Clopidogrel,Drug
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Interaction_Check,Can I take Warfarin and Lisinopril together?,Warfarin and Lisinopril do not have significant interactions.,Warfarin/Lisinopril,Drug
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Drug_Info,What is Omeprazole used for?,Omeprazole is used for treatment of its respective condition.,Omeprazole,Drug
Interaction_Check,Can I take Clopidogrel and Sildenafil together?,Clopidogrel and Sildenafil do not have significant interactions.,Clopidogrel/Sildenafil,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Info,What is Omeprazole used for?,Omeprazole is used for treatment of its respective condition.,Omeprazole,Drug
Interaction_Check,Can I take Levothyroxine and Digoxin together?,Levothyroxine and Digoxin may have Minor interaction.,Levothyroxine/Digoxin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Drug_Dosage,Recommended dose of Lisinopril?,Typical dose for Lisinopril depends on individual condition. Consult doctor.,Lisinopril,Drug
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Interaction_Check,Can I take Warfarin and Aspirin together?,Warfarin and Aspirin do not have significant interactions.,Warfarin/Aspirin,Drug
Drug_Dosage,Recommended dose of Aspirin?,Typical dose for Aspirin depends on individual condition. Consult doctor.,Aspirin,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Drug_Info,What is Prednisone used for?,Prednisone is used for treatment of its respective condition.,Prednisone,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Interaction_Check,Can I take Lithium and Simvastatin together?,Lithium and Simvastatin do not have significant interactions.,Lithium/Simvastatin,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Interaction_Check,Can I take Warfarin and Lisinopril together?,Warfarin and Lisinopril do not have significant interactions.,Warfarin/Lisinopril,Drug
Interaction_Check,Can I take Prednisone and Sildenafil together?,Prednisone and Sildenafil may have Minor interaction.,Prednisone/Sildenafil,Drug
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Drug_Dosage,Recommended dose of Prednisone?,Typical dose for Prednisone depends on individual condition. Consult doctor.,Prednisone,Drug
Side_Effect,What are side effects of Aspirin?,Common side effects of Aspirin include mild to moderate reactions.,Aspirin,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Drug_Dosage,Recommended dose of Lithium?,Typical dose for Lithium depends on individual condition. Consult doctor.,Lithium,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Interaction_Check,Can I take Digoxin and Clopidogrel together?,Digoxin and Clopidogrel may have Moderate interaction.,Digoxin/Clopidogrel,Drug
